Subject,Stage1,Stage2,Event,Region,FrequencyBand,FreqRange_Hz,Mean_Stage1_dB,Mean_Stage2_dB,Direction,Z_Score,P_Value,Significant
106,early,later,eye_closed,Left_Temporal,theta,4-8Hz,14.3711265510454,13.3088367878511,Decrease,201,0.145076950287885,0
106,early,later,eye_closed,Right_Temporal,theta,4-8Hz,14.4830906994015,13.3316313985879,Decrease,201,0.145076950287885,0
106,early,later,eye_closed,Left_Parietal,theta,4-8Hz,14.3674846423145,13.1369858740376,Decrease,208,0.097490596202208,0
106,early,later,eye_closed,Right_Parietal,theta,4-8Hz,14.5001176962604,13.2919266923625,Decrease,200,0.15312745101967,0
106,early,later,eye_closed,Left_Occipital,theta,4-8Hz,14.4018082517315,13.1197680087918,Decrease,207,0.103403776769015,0
106,early,later,eye_closed,Right_Occipital,theta,4-8Hz,14.4212121778699,13.1700763041113,Decrease,207,0.103403776769015,0
106,early,later,eye_open,Left_Frontal,alpha,9-13Hz,13.4670627369975,12.9636789851319,Decrease,210,0.0864762654936657,0
106,early,later,eye_open,Right_Frontal,alpha,9-13Hz,13.3147832481852,12.4381259574876,Decrease,199,0.161513318467542,0
106,early,later,eye_open,Left_Temporal,alpha,9-13Hz,13.6574375171997,12.6571649346947,Decrease,216,0.0593334667549941,0
106,early,later,eye_open,Right_Temporal,alpha,9-13Hz,13.6918651812432,12.3072533069791,Decrease,225,0.0321245712076567,1
106,early,later,eye_open,Left_Parietal,alpha,9-13Hz,13.7522077384758,12.600394215336,Decrease,222,0.0396724862659754,1
106,early,later,eye_open,Right_Parietal,alpha,9-13Hz,13.7352047474241,12.289554324108,Decrease,226,0.0298987911015437,1
106,early,later,eye_open,Left_Occipital,alpha,9-13Hz,13.7682409273425,12.48587476759,Decrease,225,0.0321245712076567,1
106,early,later,eye_open,Right_Occipital,alpha,9-13Hz,13.7625643231628,12.4068949042663,Decrease,224,0.0344908717639674,1
106,early,later,eye_closed,Left_Frontal,alpha,9-13Hz,13.4632482910354,13.0265160230792,Decrease,166,0.647568367631056,0
106,early,later,eye_closed,Right_Frontal,alpha,9-13Hz,13.4574407600217,13.2184498896502,Decrease,163,0.710318348253685,0
106,early,later,eye_closed,Left_Temporal,alpha,9-13Hz,13.488717848804,13.1018325650871,Decrease,171,0.548506235500147,0
106,early,later,eye_closed,Right_Temporal,alpha,9-13Hz,13.4104724967412,13.1248438763603,Decrease,165,0.668235141795249,0
106,early,later,eye_closed,Left_Parietal,alpha,9-13Hz,13.4150252616548,13.0554476579144,Decrease,173,0.51108906411744,0
106,early,later,eye_closed,Right_Parietal,alpha,9-13Hz,13.386715678376,13.0595168023204,Decrease,168,0.607052248071005,0
106,early,later,eye_closed,Left_Occipital,alpha,9-13Hz,13.3265359054769,13.0299247021773,Decrease,172,0.529629670287596,0
106,early,later,eye_closed,Right_Occipital,alpha,9-13Hz,13.3492010914784,13.0343166673803,Decrease,170,0.567709166197353,0
107,early,later,eye_open,Left_Frontal,theta,4-8Hz,14.1803023936184,13.672292729308,Decrease,183,0.345753978677278,0
107,early,later,eye_open,Right_Frontal,theta,4-8Hz,14.3232658259003,12.8942865409198,Decrease,216,0.0593334667549941,0
107,early,later,eye_open,Left_Temporal,theta,4-8Hz,14.1612955160398,13.645686388708,Decrease,178,0.423710797166793,0
107,early,later,eye_open,Right_Temporal,theta,4-8Hz,14.3357627091014,13.4537000193201,Decrease,190,0.253097908947116,0
107,early,later,eye_open,Left_Parietal,theta,4-8Hz,14.2049550755818,13.6025468298041,Decrease,189,0.265156633625956,0
107,early,later,eye_open,Right_Parietal,theta,4-8Hz,14.3447733541726,13.5040016990861,Decrease,192,0.230139340443417,0
107,early,later,eye_open,Left_Occipital,theta,4-8Hz,14.2678894429903,13.5853066782829,Decrease,188,0.277605418363564,0
107,early,later,eye_open,Right_Occipital,theta,4-8Hz,14.3111467679143,13.5639809571854,Decrease,190,0.253097908947116,0
107,early,later,eye_closed,Left_Frontal,theta,4-8Hz,14.0360910899149,14.5529498071479,Increase,127,0.51108906411744,0
107,early,later,eye_closed,Right_Frontal,theta,4-8Hz,13.5262333239268,14.353454583826,Increase,74,0.0298987911015437,1
107,early,later,eye_closed,Left_Temporal,theta,4-8Hz,13.8048101846899,14.3069703530233,Increase,123,0.440452945294225,0
107,early,later,eye_closed,Right_Temporal,theta,4-8Hz,13.8045457569316,14.1582962357439,Increase,110,0.253097908947116,0
107,early,later,eye_closed,Left_Parietal,theta,4-8Hz,13.8527261165243,14.0842278598297,Increase,129,0.548506235500147,0
107,early,later,eye_closed,Right_Parietal,theta,4-8Hz,13.8351008483235,14.0929540195683,Increase,124,0.457568175062507,0
107,early,later,eye_closed,Left_Occipital,theta,4-8Hz,13.8689054252066,13.9721370626276,Increase,139,0.753304047285912,0
107,early,later,eye_closed,Right_Occipital,theta,4-8Hz,13.8537208854815,13.9880619972356,Increase,142,0.819202033401183,0
107,early,later,eye_open,Left_Frontal,alpha,9-13Hz,13.1141111431136,11.4762776953194,Decrease,244,0.00723749486912433,1
107,early,later,eye_open,Right_Frontal,alpha,9-13Hz,13.4359811549578,11.4737781087751,Decrease,229,0.0239991496633371,1
107,early,later,eye_open,Left_Temporal,alpha,9-13Hz,13.041055178256,11.6985701205797,Decrease,225,0.0321245712076567,1
107,early,later,eye_open,Right_Temporal,alpha,9-13Hz,13.1979501906533,11.6259421530126,Decrease,224,0.0344908717639674,1
107,early,later,eye_open,Left_Parietal,alpha,9-13Hz,12.9828109144286,11.7274619077291,Decrease,223,0.0370045116164188,1
107,early,later,eye_open,Right_Parietal,alpha,9-13Hz,13.1652877590621,11.6548744248553,Decrease,219,0.048674875673469,1
107,early,later,eye_open,Left_Occipital,alpha,9-13Hz,12.955456016162,11.7232774379283,Decrease,212,0.0764894608968983,0
107,early,later,eye_open,Right_Occipital,alpha,9-13Hz,13.0178595931694,11.6707489686463,Decrease,215,0.0632908322333453,0
107,early,later,eye_closed,Left_Frontal,alpha,9-13Hz,12.6925877181106,15.3998935697333,Increase,36,0.00112539778705037,1
107,early,later,eye_closed,Right_Frontal,alpha,9-13Hz,12.7859173529416,15.444153408011,Increase,46,0.0029641781671731,1
107,early,later,eye_closed,Left_Temporal,alpha,9-13Hz,12.7460050747948,15.4570940010412,Increase,40,0.00167307472215232,1
107,early,later,eye_closed,Right_Temporal,alpha,9-13Hz,12.7244771636154,15.4578345358067,Increase,47,0.00325198444422916,1
107,early,later,eye_closed,Left_Parietal,alpha,9-13Hz,12.8419609272102,15.3933561189054,Increase,53,0.0055810915679557,1
107,early,later,eye_closed,Right_Parietal,alpha,9-13Hz,12.6271108301349,15.4582030036471,Increase,48,0.00356503463085317,1
107,early,later,eye_closed,Left_Occipital,alpha,9-13Hz,12.7836988776149,15.4089248669992,Increase,53,0.0055810915679557,1
107,early,later,eye_closed,Right_Occipital,alpha,9-13Hz,12.6919644363656,15.4204989179865,Increase,49,0.00390526507365184,1
108,early,middle,eye_open,Left_Frontal,theta,4-8Hz,15.8945641954731,15.5180389931426,Decrease,176,0.457568175062507,0
108,early,later,eye_open,Left_Frontal,theta,4-8Hz,15.8945641954731,13.7302798137172,Decrease,237,0.0129291721727266,1
108,middle,later,eye_open,Left_Frontal,theta,4-8Hz,15.5180389931426,13.7302798137172,Decrease,217,0.0555836587707688,0
108,early,middle,eye_open,Right_Frontal,theta,4-8Hz,15.379260937922,15.1288944851448,Decrease,178,0.423710797166793,0
108,early,later,eye_open,Right_Frontal,theta,4-8Hz,15.379260937922,13.9387587963929,Decrease,222,0.0396724862659754,1
108,middle,later,eye_open,Right_Frontal,theta,4-8Hz,15.1288944851448,13.9387587963929,Decrease,202,0.137354710336186,0
108,early,middle,eye_open,Left_Temporal,theta,4-8Hz,15.9061389777219,15.5709575938027,Decrease,189,0.265156633625956,0
108,early,later,eye_open,Left_Temporal,theta,4-8Hz,15.9061389777219,13.6087538383373,Decrease,243,0.00788060407334873,1
