Subject,Stage,Event,Region,FrequencyBand,FreqRange_Hz,MeanPower_dB,StdPower_dB,N_Windows
106,early,eye_open,Right_Frontal,theta,4-8Hz,13.6746176542027,1.71389851487865,24
106,later,eye_open,Right_Frontal,theta,4-8Hz,13.7649406638159,2.3282231852014,24
106,early,eye_open,Left_Temporal,theta,4-8Hz,14.3627659101714,2.01146381635031,24
106,later,eye_open,Left_Temporal,theta,4-8Hz,14.3426170649071,1.97247638331773,24
106,early,eye_open,Right_Temporal,theta,4-8Hz,13.9459797441418,1.69395510362847,24
106,later,eye_open,Right_Temporal,theta,4-8Hz,13.9307129595084,2.50197047877404,24
106,early,eye_open,Left_Parietal,theta,4-8Hz,14.2554157346234,1.95572083505094,24
106,later,eye_open,Left_Parietal,theta,4-8Hz,14.1496641069641,2.34871764187793,24
106,early,eye_open,Right_Parietal,theta,4-8Hz,13.9350720668391,1.77410906835315,24
106,later,eye_open,Right_Parietal,theta,4-8Hz,13.9720614828488,2.48018859079692,24
106,early,eye_open,Left_Occipital,theta,4-8Hz,14.1772031561804,1.79316796229209,24
106,later,eye_open,Left_Occipital,theta,4-8Hz,14.0751489491714,2.40433947466677,24
106,early,eye_open,Right_Occipital,theta,4-8Hz,14.1003049128874,1.73584973012591,24
106,later,eye_open,Right_Occipital,theta,4-8Hz,14.0568727731569,2.41203930347696,24
106,early,eye_closed,Left_Frontal,theta,4-8Hz,14.2103259822266,2.45079158936699,24
106,later,eye_closed,Left_Frontal,theta,4-8Hz,13.6259411800412,1.77352643747359,24
106,early,eye_closed,Right_Frontal,theta,4-8Hz,14.3061271044184,2.33553581158438,24
106,later,eye_closed,Right_Frontal,theta,4-8Hz,13.4766925088029,2.06780466826354,24
106,early,eye_closed,Left_Temporal,theta,4-8Hz,14.3711265510454,2.31011301390605,24
106,later,eye_closed,Left_Temporal,theta,4-8Hz,13.3088367878511,1.88165686579671,24
106,early,eye_closed,Right_Temporal,theta,4-8Hz,14.4830906994015,2.10032553115286,24
106,later,eye_closed,Right_Temporal,theta,4-8Hz,13.3316313985879,2.36567597513143,24
106,early,eye_closed,Left_Parietal,theta,4-8Hz,14.3674846423145,2.28065784880259,24
106,later,eye_closed,Left_Parietal,theta,4-8Hz,13.1369858740376,1.9979208481423,24
106,early,eye_closed,Right_Parietal,theta,4-8Hz,14.5001176962604,2.0766045429974,24
106,later,eye_closed,Right_Parietal,theta,4-8Hz,13.2919266923625,2.31456918379922,24
106,early,eye_closed,Left_Occipital,theta,4-8Hz,14.4018082517315,2.20392339665386,24
106,later,eye_closed,Left_Occipital,theta,4-8Hz,13.1197680087918,2.13882575187465,24
106,early,eye_closed,Right_Occipital,theta,4-8Hz,14.4212121778699,2.16339776783254,24
106,later,eye_closed,Right_Occipital,theta,4-8Hz,13.1700763041113,2.21544109736747,24
